establishment,highlights,count,mean,std,min,max,25%,50%,75%
Quick Bites,,70.0,2.6871428571428573,1.2396728680889069,0.0,3.4,3.0,3.2,3.3
Quick Bites,Above 18 Only,24.0,2.2583333333333333,1.494021903880717,0.0,3.6,0.0,3.0,3.2
Quick Bites,Table reservation required,207.0,3.8903381642512076,0.8562184763625315,0.0,4.5,3.8,4.0,4.5
Quick Bites,Resto Bar,4.0,4.3,0.0,4.3,4.3,4.3,4.3,4.3
Quick Bites,Debit Card,23145.0,3.68201339382156,0.8602230379798037,0.0,4.8,3.6,3.9,4.1
Quick Bites,Restricted Entry,16.0,3.9625000000000004,0.46886387505685845,2.9,4.2,4.125,4.2,4.2
Quick Bites,Indoor Seating,54803.0,3.3937320949583047,1.2127655505284138,0.0,4.9,3.3,3.8,4.0
Quick Bites,Delivery,33884.0,3.682490260890096,0.8258267565456809,0.0,4.9,3.6,3.9,4.1
Quick Bites,Variable Menu,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Quick Bites,Seaview,0.0,,,,,,,
Quick Bites,Disabled Friendly,155.0,4.080645161290323,0.36075259972307117,2.9,4.5,3.8,4.1,4.45
Quick Bites,Takeaway Available,59146.0,3.396596557670849,1.2008178018069662,0.0,4.9,3.3,3.8,4.0
Quick Bites,Seaside,13.0,3.9153846153846166,0.46519915779186055,2.7,4.2,4.0,4.2,4.2
Quick Bites,Private Dining Area Available,222.0,3.8725225225225226,0.9635022545448791,0.0,4.5,3.8,4.05,4.5
Quick Bites,Gaming Area,4.0,3.875,0.8499999999999999,2.6,4.3,3.8749999999999996,4.3,4.3
Quick Bites,Entry Fee,4.0,4.25,0.30000000000000027,3.8,4.4,4.25,4.4,4.4
Quick Bites,Serves Cocktails,14.0,2.0500000000000003,2.134604989579679,0.0,4.3,0.0,1.85,4.199999999999999
Quick Bites,Catering Available,672.0,4.004166666666666,0.38397158468305165,0.0,4.8,3.8,3.9,4.3
Quick Bites,Digital Payments Accepted,18630.0,3.5536446591519053,1.017740208860238,0.0,4.8,3.5,3.8,4.1
Quick Bites,Pre-Ordering Required,24.0,2.8666666666666667,1.1095109250267088,0.0,3.4,3.2,3.3,3.3
Quick Bites,Table booking recommended,1190.0,3.831848739495798,0.5829963298194377,0.0,4.8,3.7,3.9,4.2
Quick Bites,Smoking Area,515.0,3.78252427184466,0.8370119153238902,0.0,4.6,3.6,4.0,4.3
Quick Bites,Table Reservation Not Required,909.0,3.533443344334433,1.0440956936730046,0.0,4.6,3.5,3.8,4.0
Quick Bites,Alipay Accepted,0.0,,,,,,,
Quick Bites,Buffet,150.0,3.1633333333333336,1.3608828888396185,0.0,4.3,3.3,3.8,3.9
Quick Bites,Members Only,0.0,,,,,,,
Quick Bites,Subscription Required,0.0,,,,,,,
Quick Bites,Unlimited Pizza,14.0,2.7142857142857144,0.9558380478022277,0.0,4.0,2.5,2.6,3.425
Quick Bites,Poolside,0.0,,,,,,,
Quick Bites,DJ,61.0,3.662295081967213,0.9273913115879096,0.0,4.2,3.8,3.8,4.2
Quick Bites,Gluten Free Options,33.0,4.175757575757576,0.3464374970957091,3.3,4.5,4.1,4.2,4.5
Quick Bites,Self Service,844.0,3.850947867298578,0.6424386753681103,0.0,4.9,3.7,3.9,4.2
