hour,establishment,highlights,count,mean,std,min,max,25%,50%,75%
0,Quick Bites,,0.0,,,,,,,
1,Quick Bites,,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
2,Quick Bites,,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
3,Quick Bites,,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
4,Quick Bites,,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
5,Quick Bites,,18598.0,3.7328583718679424,1.0161880107976,0.0,4.9,3.6,4.0,4.3
6,Quick Bites,,17890.0,3.7433147009502514,1.0014469223016058,0.0,4.9,3.6,4.0,4.3
7,Quick Bites,,16726.0,3.758920243931603,0.9808109301460173,0.0,4.9,3.6,4.0,4.3
8,Quick Bites,,15203.0,3.798026705255541,0.9328620483122196,0.0,4.9,3.7,4.0,4.3
9,Quick Bites,,13785.0,3.833899165759884,0.8839064138529636,0.0,4.9,3.7,4.0,4.3
10,Quick Bites,,11733.0,3.869368447967272,0.857642037998724,0.0,4.9,3.7,4.1,4.3
11,Quick Bites,,6539.0,3.921042972931641,0.8883120339400997,0.0,4.9,3.8,4.1,4.4
12,Quick Bites,,1035.0,3.5429951690821255,1.2390786786682346,0.0,4.9,3.5,3.9,4.3
13,Quick Bites,,604.0,3.435264900662252,1.2650151957450266,0.0,4.9,3.4,3.8,4.2
14,Quick Bites,,675.0,3.817037037037037,0.9135430700096856,0.0,4.9,3.7,4.0,4.3
15,Quick Bites,,525.0,3.8939047619047624,0.8795606285579989,0.0,4.9,3.7,4.0,4.4
16,Quick Bites,,14.0,4.492857142857142,0.5797403738734274,3.4,4.9,3.8499999999999996,4.9,4.9
17,Quick Bites,,14.0,4.492857142857142,0.5797403738734274,3.4,4.9,3.8499999999999996,4.9,4.9
18,Quick Bites,,23.0,4.3,0.5090097337879791,3.4,4.9,4.0,4.0,4.9
19,Quick Bites,,40.0,4.2,0.4012800032715824,3.4,4.9,4.0,4.05,4.1
20,Quick Bites,,45.0,4.21111111111111,0.3791271208148711,3.4,4.9,4.0,4.1,4.3
21,Quick Bites,,45.0,4.21111111111111,0.3791271208148711,3.4,4.9,4.0,4.1,4.3
22,Quick Bites,,45.0,4.21111111111111,0.3791271208148711,3.4,4.9,4.0,4.1,4.3
23,Quick Bites,,45.0,4.21111111111111,0.3791271208148711,3.4,4.9,4.0,4.1,4.3
0,Quick Bites,Above 18 Only,0.0,,,,,,,
1,Quick Bites,Above 18 Only,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
2,Quick Bites,Above 18 Only,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
3,Quick Bites,Above 18 Only,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
4,Quick Bites,Above 18 Only,18868.0,3.725137799448802,1.026640094685354,0.0,4.9,3.6,4.0,4.3
5,Quick Bites,Above 18 Only,18598.0,3.7328583718679424,1.0161880107976,0.0,4.9,3.6,4.0,4.3
6,Quick Bites,Above 18 Only,17890.0,3.7433147009502514,1.0014469223016058,0.0,4.9,3.6,4.0,4.3
7,Quick Bites,Above 18 Only,16726.0,3.758920243931603,0.9808109301460173,0.0,4.9,3.6,4.0,4.3
8,Quick Bites,Above 18 Only,15203.0,3.798026705255541,0.9328620483122196,0.0,4.9,3.7,4.0,4.3
9,Quick Bites,Above 18 Only,13785.0,3.833899165759884,0.8839064138529636,0.0,4.9,3.7,4.0,4.3
10,Quick Bites,Above 18 Only,11733.0,3.869368447967272,0.857642037998724,0.0,4.9,3.7,4.1,4.3
11,Quick Bites,Above 18 Only,6539.0,3.921042972931641,0.8883120339400997,0.0,4.9,3.8,4.1,4.4
12,Quick Bites,Above 18 Only,1035.0,3.5429951690821255,1.2390786786682346,0.0,4.9,3.5,3.9,4.3
13,Quick Bites,Above 18 Only,604.0,3.435264900662252,1.2650151957450266,0.0,4.9,3.4,3.8,4.2
14,Quick Bites,Above 18 Only,675.0,3.817037037037037,0.9135430700096856,0.0,4.9,3.7,4.0,4.3
15,Quick Bites,Above 18 Only,525.0,3.8939047619047624,0.8795606285579989,0.0,4.9,3.7,4.0,4.4
16,Quick Bites,Above 18 Only,14.0,4.492857142857142,0.5797403738734274,3.4,4.9,3.8499999999999996,4.9,4.9
17,Quick Bites,Above 18 Only,14.0,4.492857142857142,0.5797403738734274,3.4,4.9,3.8499999999999996,4.9,4.9
18,Quick Bites,Above 18 Only,23.0,4.3,0.5090097337879791,3.4,4.9,4.0,4.0,4.9
